,city,cloudiness,country,date,humidity,lat,lon,temp,wind_speed
154,Phuket,20,TH,<class 'datetime.date'>,70,7.89,98.4,84.2,9.17
155,Ponta do Sol,29,BR,<class 'datetime.date'>,44,-20.63,-46.0,76.27,6.17
156,Rincon,20,PA,<class 'datetime.date'>,88,8.46,-82.28,78.8,1.12
157,Castro,90,CL,<class 'datetime.date'>,93,-42.48,-73.76,39.2,8.05
158,Mar del Plata,100,AR,<class 'datetime.date'>,45,-46.43,-67.52,34.15,10.22
159,Lompoc,90,US,<class 'datetime.date'>,93,34.64,-120.46,57.99,3.36
160,Lewisporte,75,CA,<class 'datetime.date'>,52,49.25,-55.06,72.0,3.36
161,Lagoa,0,PT,<class 'datetime.date'>,68,37.14,-8.45,75.99,16.11
162,Padang,97,ID,<class 'datetime.date'>,69,-0.92,100.36,84.73,6.02
163,Moron,100,HT,<class 'datetime.date'>,71,18.56,-74.26,83.47,2.86
164,Bolshaya Martynovka,0,RU,<class 'datetime.date'>,28,47.27,41.67,85.81,6.22
165,Mokhotlong,0,LS,<class 'datetime.date'>,55,-29.29,29.06,42.07,10.94
166,Robertsport,100,LR,<class 'datetime.date'>,79,6.75,-11.37,80.95,11.1
167,Rodrigues Alves,75,BR,<class 'datetime.date'>,88,-7.74,-72.65,78.8,6.93
168,Tarpon Springs,40,US,<class 'datetime.date'>,74,28.15,-82.76,88.0,5.82
169,Sorland,40,NO,<class 'datetime.date'>,76,67.67,12.69,50.0,18.34
170,Zhigansk,64,RU,<class 'datetime.date'>,48,66.77,123.37,66.19,3.29
171,Cardston,90,CA,<class 'datetime.date'>,93,49.2,-113.32,53.6,6.93
172,Ilulissat,75,GL,<class 'datetime.date'>,65,69.22,-51.1,41.0,5.82
173,Aranos,0,NA,<class 'datetime.date'>,11,-24.14,19.11,78.43,11.16
174,Nioro,0,GM,<class 'datetime.date'>,22,13.79,-15.05,104.71,7.2
175,Filadelfia,100,PY,<class 'datetime.date'>,61,-22.35,-60.04,63.67,11.18
176,Takoradi,100,GH,<class 'datetime.date'>,77,4.89,-1.75,80.59,8.75
177,Saint George,20,GR,<class 'datetime.date'>,26,39.45,22.34,93.2,13.87
178,Maragogi,80,BR,<class 'datetime.date'>,78,-9.01,-35.22,78.43,11.18
179,Kaitangata,87,NZ,<class 'datetime.date'>,81,-46.28,169.85,41.0,4.0
180,Trinidad,90,BO,<class 'datetime.date'>,100,-14.83,-64.9,60.8,3.76
181,Husavik,38,CA,<class 'datetime.date'>,48,50.56,-96.99,71.01,4.0
182,Georgetown,75,GY,<class 'datetime.date'>,78,6.8,-58.16,80.6,4.7
183,Mount Gambier,35,AU,<class 'datetime.date'>,54,-37.83,140.78,59.0,19.46
184,Guerrero Negro,4,MX,<class 'datetime.date'>,85,27.97,-114.04,63.67,9.75
185,Cayenne,75,GF,<class 'datetime.date'>,74,4.94,-52.33,84.2,6.35
186,Tateyama,100,JP,<class 'datetime.date'>,94,36.66,137.31,73.99,1.01
187,Pavlodar,75,KZ,<class 'datetime.date'>,77,52.28,76.96,62.6,15.66
188,Fortuna,0,ES,<class 'datetime.date'>,33,38.18,-1.13,93.99,16.11
189,Cobija,20,BR,<class 'datetime.date'>,78,-11.02,-68.77,82.4,9.17
190,Kruisfontein,0,ZA,<class 'datetime.date'>,33,-34.0,24.73,60.43,3.09
191,Batagay-Alyta,68,RU,<class 'datetime.date'>,61,67.8,130.41,55.75,4.59
192,Ancud,90,CL,<class 'datetime.date'>,93,-41.87,-73.83,39.2,8.05
193,Pokhara,76,NP,<class 'datetime.date'>,93,28.21,83.99,57.37,0.45
194,Aswan,0,EG,<class 'datetime.date'>,8,24.09,32.9,114.8,12.75
195,Mae Hong Son,100,MM,<class 'datetime.date'>,97,19.3,97.96,71.95,2.77
196,Eureka,1,US,<class 'datetime.date'>,87,40.8,-124.16,55.99,9.44
197,Daru,49,PG,<class 'datetime.date'>,90,-9.07,143.21,75.73,9.06
198,Luwuk,100,ID,<class 'datetime.date'>,97,-0.95,122.79,65.11,4.59
199,Mountain Home,75,US,<class 'datetime.date'>,55,43.13,-115.69,61.0,14.99
200,Zapolyarnyy,75,RU,<class 'datetime.date'>,56,69.43,30.82,50.0,13.87
201,Sao Filipe,0,CV,<class 'datetime.date'>,82,14.9,-24.5,75.01,26.22
202,Harper,75,US,<class 'datetime.date'>,74,30.3,-99.24,78.8,6.93
203,Saint-Georges,90,CA,<class 'datetime.date'>,81,46.12,-70.67,70.0,3.0
204,Arraial do Cabo,20,BR,<class 'datetime.date'>,83,-22.97,-42.02,78.8,10.29
205,Puerto Ayora,90,EC,<class 'datetime.date'>,88,-0.74,-90.35,73.4,16.11
